func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,False,50.0,30.3,3.532045602798462,1.5838136672973633,50,SVM (RBF),0.7450980392156863,0.36666666666666664,0.358191594297071,0.6758518518518518,0.3088264465332031,,,,
harmonic,False,50.0,30.3,3.532045602798462,1.5838136672973633,50,Random Forest,1.0,0.43333333333333335,0.43082241034827246,0.7437037037037035,1.2364938259124756,,,,
harmonic,False,50.0,30.3,3.532045602798462,1.5838136672973633,50,MLP,0.6529411764705882,0.36666666666666664,0.3627586047595209,0.7047407407407409,4.138011693954468,,,,
harmonic_with_labels,True,50.0,30.3,3.532045602798462,1.5838136672973633,53,SVM (RBF),0.792156862745098,0.4111111111111111,0.40632906388361795,0.7090370370370371,0.3408372402191162,,,,
harmonic_with_labels,True,50.0,30.3,3.532045602798462,1.5838136672973633,53,Random Forest,1.0,0.5222222222222223,0.5227125920674308,0.794,1.2787601947784424,,,,
harmonic_with_labels,True,50.0,30.3,3.532045602798462,1.5838136672973633,53,MLP,0.5705882352941176,0.43333333333333335,0.41785190118523446,0.7644444444444446,3.291560649871826,,,,
harmonic,False,100.0,30.3,3.2894179821014404,1.7596406936645508,100,SVM (RBF),0.8490196078431372,0.3111111111111111,0.3029322808909093,0.7017777777777777,0.37074732780456543,,,,
harmonic,False,100.0,30.3,3.2894179821014404,1.7596406936645508,100,Random Forest,1.0,0.4444444444444444,0.44307979953141235,0.7433333333333333,1.21193528175354,,,,
harmonic,False,100.0,30.3,3.2894179821014404,1.7596406936645508,100,MLP,0.44509803921568625,0.32222222222222224,0.30821418240566306,0.6653333333333334,2.192600727081299,,,,
harmonic_with_labels,True,100.0,30.3,3.2894179821014404,1.7596406936645508,103,SVM (RBF),0.8823529411764706,0.36666666666666664,0.35511295677054905,0.7194074074074075,0.3806142807006836,,,,
